decision_id,symbol,action,order_type,entry,sl,tp,risk_pct,confidence,ticket,decision_ts,status,exit_price,result_r,pnl_usd,outcome_ts
31,AUDUSD,OPEN_SHORT,stop,0.6985,0.70056,0.6962,0.005,71,1353199038,2026-07-27T17:32:25,SL,0.69936,-0.417,-0.86,2026-07-27T23:00:05
29,USDCAD,OPEN_LONG,stop,1.41183,1.40913,1.41723,0.005,76,1353198997,2026-07-27T17:32:14,closed,1.41164,-0.07,-0.11,2026-07-28T07:30:05
50,AUDUSD,OPEN_SHORT,stop,0.69689,0.69825,0.69417,0.0025,67,1353251839,2026-07-28T07:30:37,closed,0.69707,-0.132,-0.17,2026-07-28T12:00:05
59,XRPUSD,OPEN_SHORT,stop,1.048,1.0549,1.0411,0.0025,76,1353296356,2026-07-28T14:17:48,SL,1.055,-1.014,-0.69,2026-07-28T16:15:05
89,NZDJPY,OPEN_LONG,stop,94.883,94.684,95.282,0.0025,70,1353505884,2026-07-30T04:16:12,TP,95.282,2.005,2.45,2026-07-30T12:30:05
113,USDCAD,OPEN_SHORT,stop,1.3993,1.40371,1.3948,0.0025,71,1353591502,2026-07-30T18:47:10,SL,1.4011,-0.408,-1.3,2026-07-31T00:00:05
116,AUDUSD,OPEN_LONG,stop,0.70335,0.70221,0.70563,0.0025,69,1353603859,2026-07-30T21:17:09,SL,0.70198,-1.202,-1.39,2026-07-31T00:15:05
138,NZDJPY,OPEN_SHORT,stop,93.95,94.22,93.68,0.0025,68,1353637598,2026-07-31T11:02:12,TP,93.679,1.004,1.63,2026-07-31T12:00:05
139,CHFJPY,OPEN_SHORT,stop,198.28,198.843,197.71,0.0025,71,1353640503,2026-07-31T11:32:11,TP,197.704,1.023,3.6,2026-07-31T12:00:05
193,CHFJPY,OPEN_SHORT,stop,193.3,193.86,192.18,0.0025,72,1353807152,2026-08-03T16:32:30,SL,193.86,-1.0,-3.56,2026-08-03T23:30:05
197,USDCAD,OPEN_LONG,stop,1.40513,1.4027,1.4099,0.005,71,1353837122,2026-08-03T20:17:09,closed,1.40468,-0.185,-0.32,2026-08-03T23:30:05
195,XRPUSD,OPEN_LONG,stop,1.083,1.0653,1.1184,0.0025,71,1353828997,2026-08-03T18:16:11,SL,1.0787,-0.243,-0.52,2026-08-04T01:15:05
217,USDCAD,OPEN_LONG,stop,1.40556,1.40436,1.40742,0.0025,70,1353866599,2026-08-04T08:45:44,SL,1.40454,-0.85,-0.73,2026-08-04T11:15:05
268,CHFJPY,OPEN_SHORT,stop,194.962,195.279,194.402,0.0025,71,1354108396,2026-08-06T12:47:42,SL,195.328,-1.155,-2.31,2026-08-06T17:15:05
286,XRPUSD,OPEN_SHORT,stop,1.0308,1.0368,1.0248,0.0025,71,1354186500,2026-08-07T02:32:10,SL,1.0366,-0.967,-0.58,2026-08-07T04:15:05
311,USDCAD,OPEN_SHORT,stop,1.39299,1.39586,1.38737,0.0025,71,1354265267,2026-08-07T18:17:15,SL,1.39372,-0.254,-0.56,2026-08-07T22:15:05
337,USDCAD,OPEN_SHORT,stop,1.39389,1.39491,1.39187,0.0025,70,1354313289,2026-08-10T10:45:47,SL,1.39421,-0.314,-0.23,2026-08-10T15:15:05
381,CHFJPY,OPEN_SHORT,stop,196.19,196.33,195.93,0.0025,71,1354471224,2026-08-11T20:32:10,SL,196.335,-1.036,-0.92,2026-08-11T21:45:05
417,USDCAD,OPEN_LONG,stop,1.39476,1.39315,1.39795,0.0025,71,1354599253,2026-08-12T22:02:10,SL,1.39402,-0.46,-0.47,2026-08-13T02:30:05
472,AUDUSD,OPEN_LONG,stop,0.70742,0.7063,0.70915,0.005,74,1354713900,2026-08-14T10:45:19,TP,0.70933,1.705,1.92,2026-08-14T18:15:05
504,NZDJPY,OPEN_LONG,stop,94.001,93.878,94.229,0.0025,74,1354788677,2026-08-17T07:00:19,TP,94.235,1.902,1.47,2026-08-17T12:45:05
508,AUDUSD,OPEN_LONG,stop,0.71182,0.71008,0.715,0.0025,73,1354793263,2026-08-17T09:30:25,closed,0.71171,-0.063,-0.11,2026-08-17T16:30:05
