signal_id,time,symbol,direction,dir_str,entry,sl,tp,r_ratio,atr_pips,n_optional,rsi
S14-CHFJPY-H1-SIG0001,2026-06-23 01:00:00,CHFJPY,1,LONG,199.874,199.453,201.3475,3.5,24.8,1,47.7
S14-CHFJPY-H1-IB0001,2026-06-23 03:00:00,CHFJPY,1,LONG,199.915,199.706,200.333,2.0,23.8,0,49.1
S14-CHFJPY-H1-IB0002,2026-06-23 14:00:00,CHFJPY,1,LONG,199.622,199.163,200.54,2.0,23.6,0,41.3
S14-CHFJPY-H1-IB0003,2026-06-25 21:00:00,CHFJPY,1,LONG,199.87,199.657,200.296,2.0,23.5,0,63.5
S14-CHFJPY-H1-SIG0002,2026-06-26 07:00:00,CHFJPY,1,LONG,199.943,199.48,202.0265,4.5,21.3,2,61.7
S14-CHFJPY-H1-IB0004,2026-06-29 16:00:00,CHFJPY,1,LONG,200.439,200.083,201.151,2.0,18.8,0,67.6
S14-CHFJPY-H1-IB0005,2026-06-30 03:00:00,CHFJPY,1,LONG,200.95,200.424,202.002,2.0,21.6,0,64.3
S14-CHFJPY-H1-IB0006,2026-07-03 07:00:00,CHFJPY,1,LONG,200.873,200.683,201.253,2.0,22.0,0,56.9
S14-CHFJPY-H1-IB0007,2026-07-08 05:00:00,CHFJPY,1,LONG,200.829,200.602,201.283,2.0,17.0,0,48.8
S14-CHFJPY-H1-IB0008,2026-07-23 16:00:00,CHFJPY,1,LONG,200.84,200.206,202.108,2.0,19.4,0,61.3
